id,passenger_name,age,train_no,seat_no,fare,travel_date,gender_Agender,gender_Bigender,gender_Female,gender_Genderfluid,gender_Genderqueer,gender_Male,gender_Non-binary,gender_Polygender,booking_type_Counter,booking_type_Direct,booking_type_Online,booking_type_Tatkal,source_Bangalore,source_Chennai,source_Coimbatore,source_Erode,source_Hyderabad,source_Madurai,source_Salem,source_Tirunelveli,source_Trichy,destination_Bangalore,destination_Chennai,destination_Coimbatore,destination_Erode,destination_Hyderabad,destination_Madurai,destination_Salem,destination_Tirunelveli,destination_Trichy,coach_A1,coach_A2,coach_B1,coach_D1,coach_S1,coach_S2,coach_S3,ticket_status_Cancelled,ticket_status_Confirmed,ticket_status_RAC,ticket_status_Waiting
1,Nert Spitell,54,84471,53,224,1/17/2026,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2,Lelah Manston,76,75255,41,2102,9/1/2018,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
3,Lodovico Dicke,36,88415,29,2117,3/26/2025,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
4,Ruperta Talloe,16,96439,52,1932,3/10/2019,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
5,Daveen Wakeley,37,80648,24,713,7/25/2020,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
6,Che Critchell,66,34406,67,1955,9/17/2021,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
7,Cori Fortnon,38,87429,6,2373,9/1/2019,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
8,Jada Fasset,46,53932,12,974,12/2/2020,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
9,Dniren Huriche,48,8299,44,2207,3/20/2020,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
10,Caprice Strowlger,19,52314,8,1111,10/11/2021,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
11,Bernhard Gotling,19,22098,56,954,12/12/2022,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
12,Stu Myhill,38,99790,60,211,1/10/2025,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
